Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Chad,TCD,87.80383936666667,93.62442779714286,98.8649864225,78.87010574,,37.047,17.131857142857143,18.6792,14.327,13.2916,40.40903854,98.722660065,87.46505482666667,43.52962875,98.864040395,48.935157778,73.38727188333334,52.3023805625,88.4018745425,27.28000069,89.425556946,93.890080264,93.657804868,96.62360083695653,93.4786272075
Channel Islands,CHI,93.77030881333332,96.41020965857145,99.21238136625,81.9854173625,,33.4955,18.828142857142858,18.9506,14.831,13.8558,69.28043556,98.0839900975,92.71681848833332,71.37385368,99.5667095475,60.474494936,78.85277080750001,67.114759445,87.288749695,62.220002175,88.79469909800001,94.307783512,94.282572934,96.68153978608696,93.28170522333332
Chile,CHL,99.73677826,99.19599152,99.55977631,85.10072898499999,,29.944,20.52442857142857,19.222,15.335,14.42,98.15183258,97.44532013,97.96858215,99.21807861,100.2693787,72.01383209400001,84.31826973166667,81.9271383275,86.1756248475,97.16000366,88.16384125,94.72548676,94.907341,96.7394787352174,93.08478323916668
China,CHN,97.374469755,96.84883881,96.78840637,88.21604060749999,,26.3925,22.220714285714287,22.25975,21.2995,19.4215,101.86491774,100.494499215,98.798091885,99.20627594,98.69324114,83.553169252,89.78376865583334,96.73951721,85.0625,85.34333546666667,87.761959075,89.838962555,90.85713577,96.79741768434783,92.887861255
Colombia,COL,95.01216125,95.55609131,97.28720093,91.33135223,,22.841,23.917,25.2975,27.264,24.423,105.5780029,103.5436783,99.62760162,99.19447327,97.11710358,95.09250641,95.24926758,95.63632965,83.9493751525,73.52666727333333,87.3600769,84.95243835,86.80693054,96.85535663347828,92.69093927083334
Comoros,COM,95.56886418333332,92.050369264,85.29087448,86.23208617799999,,21.80025,22.33325,28.33525,21.168,22.6125,92.11400093666668,101.78124429,89.17829895,90.921016695,98.08677101,94.73462946411765,94.178097536,95.50231424866666,82.836250305,61.70999908,89.86905860499999,87.656848905,89.2120532975,96.9132955826087,92.49401728666668
"Congo, Dem. Rep.",COD,96.12556711666667,88.544647218,73.29454803,81.132820126,,20.759500000000003,20.7495,31.373,20.44233333333333,20.802,78.64999897333333,100.01881028,78.72899628,82.64756012,99.05643844,94.37675251823528,93.106927492,95.36829884733332,81.7231254575,80.54000092,92.37804031,90.36125946,91.617176055,96.97123453173911,92.2970953025
"Congo, Rep.",COG,96.68227005,85.038925172,85.34439086500001,76.033554074,,19.71875,19.165750000000003,25.6595,19.716666666666665,18.9915,65.18599701,98.25637627,87.740932465,90.863895415,100.02610587,94.01887557235294,92.035757448,95.234283446,80.61000061,81.78666751,94.887022015,93.065670015,94.0222988125,97.02917348086956,92.10017331833332
Costa Rica,CRI,97.23897298333333,81.533203126,97.3942337,70.934288022,,18.678,17.582,19.946,18.991,17.181,95.62042999,96.49394226,96.75286865,99.08023071,100.9957733,93.6609986264706,90.964587404,95.10026804466666,98.04000092,83.03333409999999,97.39600372,95.77008057,96.42742157,97.08711243,91.90325133416668
Cote d'Ivoire,CIV,97.79567591666668,78.02748108,70.10767365,65.83502197,,16.1245,21.917,16.094,15.8405,18.777,70.03347015,73.49450684,75.58598328,73.70536804,68.59470367,93.30312168058823,89.89341736,94.96625264333332,98.744998935,84.28000069,94.6153183,95.98484039,91.62638855,95.20146179,91.70632935
