Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Kenya,KEN,71.5,29.208017141176473,1865768.0,681171000000.0,65.1,-0.876583576,83.45275879,4.47622252,6.344818498,36.2,-0.398768902,8.2025,0.546752512,89.0,89.0,88.0,27.5774,5.405162079,3.575977892,190000.0,11.99578462,62.675,99.24292627833333,0.9521739130434783,118.1263492,0.9624999999999999,-17106.0,23.16709137,98.36360931200001,3.6479999999999997,-1.007226825,50.81331,92.8,69.5,26.1,24.7,97.929973625,0.02,21.7765043,13118.425,452916.0,-0.517190576,63.2,-0.577875257,47.57433333333333,53.81583333,59.014373,48.243702,80188.01667,7.9305,-0.342688382,48.256097560975604,57.62439024390244
Kiribati,KIR,91.0,31.37334204764706,56299.058,82231429.21,61.44545454545454,0.467345566,82.78676605333334,16.99,1.456790123,35.03333333333334,0.135919511,9.685,0.492592931,92.0,92.0,82.0,52.0585,2.553245544,2.5820126113333335,146500.0,8.931078635666667,67.266,98.68584950666667,1.008695652173913,43.22257718,0.675,-296.0,0.69,98.823333738,3.268,1.163732648,42.750978333333336,94.525,41.0,8.0,12.1,94.98194885,0.04,8.888888889,10173.85,303091.6666666666,-0.430563331,23.7,1.009463787,53.669,35.15541667,72.80772,65.04991,88.571671,10.971,1.115723491,49.21463414634147,58.65853658536586
"Korea, Dem. People's Rep.",PRK,50.5,33.538666954117645,3563.0,26883641115714.605,57.79090909090908,-1.703108072,82.12077331666667,12.669885749999999,50.07964455,33.86666666666667,-1.49044621,11.1675,0.6456846,97.0,97.0,99.0,74.2818,1.5452667835,1.5880473306666667,103000.0,5.866372651333334,73.274,98.128772735,1.0652173913043477,23.19515861,0.3875000000000002,-1589.0,14.838709564999998,99.28305816400001,2.888,-0.378693789,34.68864666666667,96.25,23.15,4.35,43.9,98.091758725,0.06,17.61280932,7229.2750000000015,153267.3333333333,-2.370465994,11.9,-1.608651996,46.93866666666666,61.66166667,82.921321,73.367067,76079.90868,7.4510000000000005,-2.154896021,50.173170731707316,59.69268292682927
"Korea, Rep.",KOR,100.0,35.70399186058824,30033310.0,53767200000000.0,54.13636363636363,0.698436558,81.45478058,8.3497715,64.41598361,32.7,1.370355129,12.65,0.798776269,98.0,98.0,98.0,96.5051,0.537288023,0.59408205,59500.0,2.801666667,83.42682927,97.57169596333333,1.1217391304347826,136.0094467,0.1,0.0,28.98741913,99.74278259,2.508,0.608559489,26.626314999999998,97.975,5.3,0.7,2.5,101.2015686,0.08,19.0,4284.7,3443.0,1.024950743,0.1,1.147331357,40.208333333333336,88.16791667,95.210133,88.866221,659329.6994,3.931,0.822011471,51.131707317073165,60.72682926829268
Kosovo,XKX,100.0,37.86931676705883,15928452.0,35865079866666.67,50.48181818181818,-0.463044196,85.69538116666666,7.348691465,32.3833565635,31.46666666666667,-0.332664609,7.5,0.567331731,95.5,95.5,96.5,97.8055,0.198227923,2.214642558,16000.0,3.4707875,76.567,97.01461919166667,1.1782608695652175,145.6384001,0.5,-15050.0,19.318501474999998,92.74296188,2.4005,-0.279240251,18.563983333333333,99.7,8.75,2.8,2.5,101.1083781,0.1,12.6746031745,2997.8,2087.5,-0.320575327,10.475,-0.40494585,33.478,76.58937499999999,89.73974,80.962646,397613.24485,25.459,-0.159918711,52.09024390243902,61.7609756097561
Kuwait,KWT,100.0,40.034641673529414,1823594.0,17962959733333.336,46.82727272727272,-0.091735229,89.93598175333334,6.34761143,0.350729517,30.233333333333334,-0.19505249,2.35,0.562588036,93.0,93.0,95.0,99.1059,2.101729548,0.252267859,8385.0,4.139908333,76.92,96.45754242,1.2347826086956522,155.2673535,0.8999999999999999,-254177.0,9.64958382,85.74314117,2.293,0.225190043,10.501651666666667,99.42857142857143,12.2,4.9,2.5,101.0151876,0.12,6.349206349,1710.9,732.0,0.273751527,20.85,0.308871776,25.773000000000003,65.01083333,91.473712,84.37948,135896.7903,15.0445,-0.678563237,53.048780487804876,62.795121951219514
Kyrgyz Republic,KGZ,99.9,42.19996658,191774.0,60839600000.0,43.17272727272727,-1.124469995,94.17658234,5.26,6.858081335,29.0,-0.576527297,4.19,0.596617103,87.0,86.0,92.0,72.0,6.325422963,1.747343081,770.0,17.03576593,71.8,92.35153412874999,1.2913043478260868,132.4695239,1.3,-14307.0,45.91,97.6644516,1.3250000000000002,-0.456187993,2.43932,99.15714285714286,6.6,1.0,4.6,100.9219971,0.14,16.52173913,424.0,334.0,-0.450061172,31.225,-0.959660351,18.068,80.675,81.045367,60.263851,16093.54198,4.63,-0.577681243,54.00731707317073,63.82926829268293
Lao PDR,LAO,99.3,41.447684077,386950.0,11129200000000.0,39.518181818181816,-1.08248508,89.68812561,2.05965185,71.9042461,32.35,-0.738060236,1.27,0.456665337,79.0,79.0,79.0,54.0,5.10407263,2.718639417,2846.6666666666665,15.0207133365,68.497,88.2455258375,1.3478260869565217,63.34796067,1.05,-10303.0,41.05822372,98.08782959000001,0.357,0.693885386,21.8,98.88571428571429,31.8,8.3,5.2,90.97100067,0.12444444444444445,27.51677852,1141.55,485.5,-0.840734363,41.6,-0.880950749,13.307500000000001,57.00666667,75.797517,67.151944,30491.44478,6.364000000000001,-1.792621255,54.96585365853658,64.86341463414635
Latvia,LVA,100.0,40.695401574,1323070.0,2595814765.0,35.86363636363636,0.693269372,85.19966888,7.25,54.80941668,35.7,0.838279903,5.3,0.706581414,99.0,99.0,99.0,88.898,0.219064905,3.689935753,4923.333333333333,13.005660743,75.18536585,84.13951754625,1.4043478260869566,108.1340417,0.8,-7381.0,32.09,98.51120758,3.345,0.462128848,23.05106,98.61428571428571,9.4,0.7,2.5,98.32875824,0.1088888888888889,30.0,1859.1,637.0,1.180404305,7.9,0.922364891,8.547,83.73916667,87.446812,70.574001,11436.59559,8.098,0.869215667,55.92439024390244,65.89756097560976
Lebanon,LBN,100.0,39.943119071,1077762.0,5579110000000.0,32.209090909090904,-1.179467916,85.74283218000001,7.57650805,14.01075269,35.75,-1.204863071,2.73,0.515125513,71.0,71.0,74.0,87.8607,84.86433305,2.260316601,7000.0,10.9906081495,77.804,80.033509255,1.4608695652173913,75.72450204,0.7333333333333334,-115146.0,30.31226349,86.14943695,3.5278333333333336,-1.62113452,24.302120000000002,98.34285714285714,29.0,10.2,23.1,99.537322992,0.09333333333333335,4.6875,1867.75,1349925.0,-0.768814564,31.450000000000003,-0.905710816,8.915833333333333,54.72375,89.642735,83.85315,28947.43775,8.162833333333333,-0.555211604,56.88292682926829,66.93170731707318
Lesotho,LSO,47.5,39.190836568,956941.4733333334,6029660000.0,28.554545454545448,-0.141579404,86.28599548,10.27927017,1.137022398,35.800000000000004,-0.979480028,2.8866666666666667,0.400392592,87.0,87.0,90.0,40.4172,4.978096763,2.3402988605,97333.33333333333,8.975555556,54.693,75.92750096374999,1.517391304347826,69.32469722,0.6666666666666667,-1490.0,16.14388847,88.679187775,3.710666666666667,-0.253533632,25.55318,98.07142857142857,54.4,30.9,43.7,100.745887744,0.07777777777777778,23.33333333,1876.3999999999999,271.0,-0.669014096,55.0,-0.487081766,9.284666666666666,53.12291667,45.723761,34.271025,4013.753971,8.227666666666668,-0.005604757,57.84146341463415,67.96585365853659
Liberia,LBR,27.6,38.438554065,836120.9466666667,5244094084.75,24.9,-0.905724645,86.82915878,16.96832657,79.08471761,35.85,-1.460012197,3.0433333333333334,0.319014221,65.0,65.0,61.0,27.4519,3.2125666665,2.4202811200000003,187666.66666666666,8.356479188833333,60.948,71.8214926725,1.5739130434782609,32.49086403,0.6000000000000001,-10119.0,26.26482391,91.2089386,3.8935000000000004,-0.314182639,63.88484,97.8,80.6,37.3,37.8,101.954452496,0.062222222222222234,12.32876712,1885.05,8213.0,-1.038943887,41.85,-1.035418153,9.653500000000001,59.25583333,59.523842,53.39471,2155.394887,8.2925,-0.072171874,58.8,69.0
Libya,LBY,69.4,37.686271562,715300.42,4458528169.5,29.03333333333333,-1.583956599,87.37232208,13.805551046666666,0.123327688,35.9,-1.858802319,3.2,0.4480254646666667,73.0,73.0,73.0,87.5754,1.44703657,2.5002633795,278000.0,7.737402821666667,72.472,67.71548438125001,1.6304347826086956,174.6934374,0.5333333333333334,-696.0,27.06321594,93.73868942499999,4.076333333333333,-2.462278366,64.47404833333333,97.65714285714286,39.4,20.7,7.9,103.163017248,0.046666666666666676,15.95744681,1893.7,4149.0,-2.221005201,28.7,-1.880337238,10.022333333333334,22.91125,81.389087,70.980525,75370.28088,8.357333333333333,-1.359578609,59.62941176470588,68.982
Liechtenstein,LIE,100.0,36.933989059,375163.71,3672962254.25,33.166666666666664,1.959424734,87.91548537999999,10.642775523333334,41.875,35.95,1.761801004,4.58,0.5770367083333334,82.0,82.0,81.5,94.3499,1.3234655100000001,2.580245639,222700.0,7.1183264545,81.65853659,63.60947609,1.6869565217391305,126.1404686,0.46666666666666673,189.0,27.86160797,96.26844025,4.259166666666667,1.669110894,65.06325666666666,97.5142857142857,24.6,11.299999999999999,5.2,104.371582,0.031111111111111117,12.0,1902.35,129.0,1.620551705,15.549999999999997,1.716376781,10.391166666666667,54.66375000000001,95.027743,91.570785,157.560064,8.422166666666667,1.259173274,60.45882352941176,68.964
Lithuania,LTU,100.0,36.181706556,35027.0,2887396339.0,37.3,0.778642654,88.45864868,7.48,35.14851485,36.0,1.015032411,5.96,0.706047952,91.0,91.0,90.0,83.0555,1.19989445,3.581221846,167400.0,6.499250087333333,74.97804878,59.50346779875,1.7434782608695651,130.2002612,0.4,-12625.0,28.66,99.54010773,4.442,0.921403408,65.652465,97.37142857142857,9.8,1.9,2.5,103.6344833,0.015555555555555559,26.95035461,1911.0,1880.0,1.080174565,2.4,0.950274825,10.76,86.41625,87.483636,67.891255,19784.73208,8.487,1.004444122,61.28823529411765,68.946
Luxembourg,LUX,100.0,35.429424053,753114.0,4790758317.0,41.43333333333334,2.023770571,90.36112213,5.74,34.45382721,33.4,1.792817235,4.19,0.68614614,99.0,96.0,99.0,98.4596,0.819957302,0.475888702,112100.0,5.880173720166667,82.14390244,55.3974595075,1.8,132.9505076,0.3875,6952.0,8.42,78.4058075,3.34375,1.212395668,66.24167333333334,97.22857142857143,2.8,0.7,2.5,77.30518341,0.0,30.0,271.0,5158.0,1.838177085,0.0,1.738464713,6.712,83.905,92.949408,87.23671,8813.977022,6.766,1.497230649,62.11764705882353,68.928
"Macao SAR, China",MAC,100.0,34.67714155,544411.0,23073049014.0,45.56666666666666,0.770509839,82.97884369,4.73158061,27.909115395,33.114285714285714,1.075224519,3.6350000000000002,0.795671582,83.5,82.0,77.0,87.4623,0.811410511,0.295734182,56800.0,5.261097353,85.184,51.29145121625,1.7521739130434784,412.9927856,0.375,8441.0,19.679207765,99.2248764,2.2455000000000003,1.137468815,66.83088166666667,97.08571428571429,31.950000000000003,5.500000000000001,7.1,90.05455017,0.010909090909090908,23.940397349999998,472.0,2635.0,1.737213492,13.733333333333334,0.812058628,10.944666666666667,68.953541665,95.905907,91.371859,19690.202716,2.566,-0.290054917,62.94705882352941,68.91
Madagascar,MDG,32.0,33.924859047,186314.332,2810460000000.0,49.7,-1.009642959,87.72466278,3.72316122,21.36440358,32.82857142857143,-1.052760601,3.08,0.391991019,68.0,68.0,55.0,15.8196,4.201793122,0.45117223900000003,1500.0,48.86666667,65.182,47.185442925000004,1.7043478260869565,56.2228538,0.3625,-742.0,30.93841553,98.71600341666667,1.1472500000000005,-0.509343922,67.42009,96.94285714285714,61.1,10.3,49.5,59.1629982,0.021818181818181816,17.8807947,673.0,112.0,-0.811572015,27.46666666666667,-0.879376113,15.177333333333333,54.00208333,70.030613,60.708496,30566.42841,1.7365,-0.261799514,63.77647058823529,68.892
Malawi,MWI,11.5,33.172576543999995,1792.164,473624000000.0,65.6,-0.392753959,92.47048187,7.0088768,23.77704709,32.542857142857144,-0.818331599,2.525,0.413240641,94.0,94.0,90.0,22.2466,8.625514697,0.6066102959999999,82625.0,24.2162963,63.717,43.079434633750004,1.6565217391304348,51.6315658,0.35,-1775.0,15.79892921,98.20713043333333,0.049,-0.118913285,49.78452,96.8,81.3,51.0,17.2,79.70899775,0.03272727272727272,22.91666667,1164.0,14892.0,-0.785046399,41.2,-0.278625727,19.41,58.35458333,65.04574,48.408063,11982.42756,0.907,0.004117197,64.60588235294118,68.874
Malaysia,MYS,100.0,32.420294041,15893988.0,82996331516.0,56.58333333333333,0.229109854,97.21630096,4.08395433,58.17695937,32.25714285714285,1.02247262,1.97,0.61097616,98.0,99.0,95.0,89.555,-1.138702154,0.762048353,163750.0,3.944207692,75.938,38.973426342500005,1.608695652173913,131.6976181,0.3375,57483.0,34.24639893,97.69825745,2.228,0.124463096,42.31476,96.83714285714285,15.4,6.3,3.2,100.2549973,0.04363636363636363,14.86486486,1655.0,129902.0,0.66661346,54.93333333333334,0.572214603,13.63,72.93708333,87.160413,77.039977,302088.6631,4.54,-0.155352876,65.43529411764706,68.856
Maldives,MDV,100.0,31.668011538,292931.0,8842745611.0,47.56666666666666,-0.339506418,97.306999205,11.35,2.733333333,31.97142857142857,-0.13092418,5.04,0.4646228705,99.0,99.0,98.0,79.0978,-1.369774256,0.9607919349999999,244875.0,11.60023032,79.875,34.867418051250006,1.5608695652173914,139.513022,0.325,1134.0,16.91,97.13823191666667,2.299666666666667,0.362981379,34.845,96.8742857142857,13.4,2.2,6.449999999999999,99.43555708,0.05454545454545454,4.597701149,1469.6,88641.0,-0.588554084,68.66666666666667,-0.303693801,22.246000000000002,62.89708333,92.624918,89.749723,1994.511834,4.034,-0.323318839,66.26470588235294,68.838
Mali,MLI,50.6,30.915729035,421124.7725,631061000000.0,38.55,-0.801557362,97.39769745,3.47597885,10.89666363,31.685714285714283,-1.18722105,4.71,0.318269581,70.0,70.0,62.0,28.3043,0.43808894,1.159535517,326000.0,10.725184256,58.633,30.76140976,1.5130434782608697,119.2779414,0.3125,-14978.0,44.73706055,96.57820638333332,2.3713333333333333,-2.14628768,41.92883,96.91142857142857,9.3,1.8,9.7,98.61611686,0.06545454545454545,27.89115646,1284.2,47380.0,-0.673809767,82.4,-0.950111389,30.862,53.72125,58.314318,51.502597,43491.51296,3.528,-0.735177457,67.09411764705882,68.82
Malta,MLT,100.0,30.163446532,549318.545,1551175344.0,29.53333333333333,0.342205673,97.50063324,10.74,1.4375,31.4,0.994383156,4.38,0.709248304,98.0,98.0,95.0,86.8588,0.638544957,1.358279099,332200.0,9.850138192,82.34878049,43.658697509999996,1.4652173913043478,122.8511054,0.3,10854.0,30.31,96.01818085,2.443,0.998400986,46.61922,96.94857142857143,5.2,1.4,3.7,97.79667664,0.07636363636363636,13.43283582,1098.8,9168.0,1.210128903,44.800000000000004,0.88351953,9.296,78.1625,94.977722,90.694331,2082.169141,4.347,1.118638515,67.9235294117647,68.80199999999999
Marshall Islands,MHL,98.3,29.411164029,25563.0,50760000.0,20.516666666666666,0.467345566,97.60356903,12.58777618,52.22222222,34.7,0.117472954,4.133333333333333,0.423398137,82.0,86.0,89.0,71.2288,1.512119921,1.1904093245,338400.0,8.975092128,64.977,56.55598526,1.4173913043478261,36.85447091,0.875,-1901.0,1.15782261,83.66594696,2.514666666666667,0.983442307,51.30961,96.98571428571428,25.249999999999996,4.300000000000001,5.6,113.4912491,0.08727272727272727,6.060606061,913.4,51387.5,-0.670987487,7.2,0.595379114,12.06775,35.45958333,65.841983,57.407953,164.923162,5.773666666666667,1.130495667,68.75294117647059,68.78399999999999
Mauritania,MRT,45.4,28.658881526,100904.0,20714671000.0,11.5,-0.815018535,97.70650481999999,3.38773394,0.30348307,38.0,-0.838932753,3.8866666666666667,0.38154608,72.0,72.0,70.0,41.0726,2.385694885,1.02253955,344600.0,8.100046064,64.532,69.45327301,1.3695652173913044,129.1269247,1.4500000000000002,-1494.0,43.45584488,89.63294983,2.586333333333333,-0.700950503,56.0,97.02285714285713,45.3,7.2,7.5,104.67581559,0.09818181818181818,20.26143791,728.0,93607.0,-0.894477546,55.0,-0.605059206,14.8395,49.51791667,68.743822,60.823101,14056.36818,7.200333333333334,-0.825767577,69.58235294117648,68.766
Mauritius,MUS,99.5,27.906599023,407291.0,41378582000.0,22.625,0.441281766,97.80944061,6.48210192,19.41412118,41.3,0.85125798,3.64,0.621859252,93.0,93.0,89.0,67.7329,2.580800772,2.696814484,350800.0,7.225,74.17707317,82.35056076,1.3217391304347825,147.3924126,2.025,-478.0,42.04446793,95.5999527,2.658,0.872974157,36.8,97.06,28.2,9.1,6.9,95.86038208,0.10909090909090909,20.0,833.75,20.0,1.181130648,4.5,0.890954435,17.61125,75.08583333,84.222373,71.192279,6435.739403,8.627,0.704483211,70.41176470588236,68.748
Mexico,MEX,99.4,27.15431652,34133108.0,399508000000.0,33.75,-0.921504736,97.9123764,6.22204065,33.79309139,44.6,-0.26993987,1.0,0.612949848,72.0,77.0,92.0,71.4902,3.396834156,29.18531406,357000.0,6.341666667,70.133,95.24784851,1.2739130434782608,97.53972081,2.6,-9949.0,38.76134109,97.9451828,2.441,-0.791369319,17.6,97.09714285714286,26.1,3.7,2.5,102.5977173,0.12,48.2,939.5,45434.0,-0.012910045,8.4,-0.646558285,20.383,87.99708333,77.587742,60.483609,592321.1717,4.441,-0.026169067,71.24117647058824,68.73
"Micronesia, Fed. Sts.",FSM,81.9,26.51322014230769,17219869.8635,22870385.0,44.875,0.875658691,93.755867,10.84531593,92.02857143,42.76,0.358195007,3.285,0.505966544,83.0,88.0,79.0,39.3833,0.554594631,16.1000251425,402571.4285714286,14.47,70.674,96.2317047125,1.2260869565217392,19.62428416,2.5500000000000003,-635.0,2.66157913,96.84287262000001,0.963,1.118729949,17.6696725,97.13428571428571,25.5,4.300000000000001,2.5,78.53900146,0.06,0.0,1045.25,22919.5,-0.891345799,7.1,0.188530937,17.877,36.31041667,81.893959,66.073868,194.111345,2.8135,1.129765034,72.07058823529412,68.712
Moldova,MDA,100.0,25.872123764615385,306631.727,7040600000.0,56.0,-0.571009994,89.5993576,7.0,11.75322187,40.92,-0.545202792,5.57,0.584153533,86.0,87.0,84.0,58.2153,3.765971222,3.014736225,448142.85714285716,8.18,70.166,97.215560915,1.1782608695652175,110.876909,2.5,-14278.0,30.93,95.74056244,4.057,-0.340128064,17.739345,97.17142857142856,24.9,4.9,2.5,104.1094666,0.0,24.75247525,1151.0,405.0,-0.010916068,5.8,-0.501107097,15.371,82.26125,81.991034,58.69763,12985.65753,1.186,-0.045278657,72.9,68.694
Monaco,MCO,100.0,25.231027386923074,225245.8635,866320300000.0,56.856,1.266005278,89.531565852,4.27983093,0.0,39.08,2.028542757,6.8950000000000005,0.5992755295,99.0,99.0,88.0,98.5709,3.7810057415,4.6187699585,493714.2857142857,12.55531335,71.15350000000001,98.19941711749999,1.1304347826086958,96.10801148,2.45,206.0,5.99248505,93.80957031,3.616666666666667,1.17722559,17.8090175,97.20857142857143,15.549999999999999,2.45,4.55,100.57073214,0.0044,33.33333333,1486.0,22.0,1.335421324,15.349999999999998,1.367854357,16.936,82.057916665,96.561285,94.688532,33453.55626,3.89,0.673558414,72.54848484848485,68.676
Mongolia,MNG,99.5,24.589931009230767,143860.0,1725600000000.0,57.712,-0.494477481,89.46377410400001,4.6662488,9.099658488,37.24,-0.420242369,8.22,0.614397526,96.0,96.0,97.0,62.5,3.796040261,6.222803692,539285.7142857143,16.9306267,72.141,99.18327332,1.0826086956521739,132.467372,2.4,0.0,43.4403038,96.1187706,3.1763333333333335,0.717772186,17.87869,97.24571428571429,6.2,0.0,6.6,97.03199768,0.0088,17.33333333,1821.0,94.0,-0.108932532,24.9,-0.267986298,18.501,81.85458333,84.1048,62.244523,53921.45499,6.594,0.376543373,72.1969696969697,68.658
Montenegro,MNE,99.9,23.94883463153846,1578085.0,929564500000.0,58.568,-0.042974085,89.395982356,11.42,61.48698885,35.4,-0.106561251,3.81,0.63318181,84.0,52.0,24.0,77.6088,-0.2556557,2.861469126,584857.1428571428,5.906666667,75.93170732,86.04871877333333,1.0347826086956522,171.7021595,2.35,-1326.0,36.55,98.42797089,2.736,-0.061226465,8.8,97.28285714285714,14.0,3.4,2.5,100.5412064,0.0132,22.22222222,2058.0,166.0,0.42420873,26.35,-0.039458431,21.094,73.15208333,88.273418,76.961813,3764.437423,17.878,0.041489806,71.84545454545454,68.64
Morocco,MAR,100.0,23.307738253846153,3012310.0,133529000000.0,59.424,-0.412526339,89.328190608,5.83834505,12.86688326,34.05714285714286,-0.188582316,0.73,0.504116356,99.0,99.0,99.0,84.1204,0.705968661,1.248338337,630428.5714285714,11.4908333335,73.92,72.91416422666667,0.9869565217391305,133.893994,2.3,-33807.0,43.6934967,91.99337769,1.4095000000000002,-0.359539151,10.85088,97.32,43.85,21.9,5.3,96.91558075,0.0176,20.50632911,2295.0,6505.0,-0.047914837,27.8,-0.188088924,19.069333333333333,63.16625,85.027408,76.947605,88027.79761,12.410666666666668,-0.595822215,71.4939393939394,68.622
Mozambique,MOZ,30.6,22.666641876153847,327742.0,124441000000.0,60.28,-0.774722815,89.26039886000001,7.56957626,46.72519647,32.714285714285715,-0.769691467,0.7,0.362116665,79.0,79.0,81.0,17.8299,3.483935675,2.094504209,676000.0,17.075,61.172,59.77960968,0.9391304347826087,49.59621356,2.25,11745.0,10.08967018,92.24537849833334,0.083,-1.281614184,54.95891,97.35714285714285,73.7,40.4,29.5,61.54114914,0.022000000000000002,42.4,2425.5,4757.0,-0.772882998,28.733333333333334,-1.061634064,17.044666666666668,55.20833333,64.113533,48.720691,33749.36732,6.943333333333333,-0.591020644,71.14242424242424,68.604
Myanmar,MMR,70.4,22.025545498461536,1506581.713,77016365000.0,61.136,-0.680532873,89.192607112,4.62,43.73403098,31.37142857142857,-1.01391089,1.06,0.477652013,84.0,84.0,91.0,41.95429049,2.846659022,2.940670081,505000.0,14.83333333,66.797,61.609343277368424,0.8913043478260869,147.0303762,2.2,-66228.0,79.18,92.49737930666667,0.27375,-1.511704564,58.28105,97.39428571428572,25.5,3.7,3.4,72.01334889666667,0.0264,16.82539683,2556.0,4167.5,-0.621483266,29.666666666666668,-1.194724917,15.02,65.3975,74.50012,60.876105,128949.3985,1.476,-0.939285517,70.7909090909091,68.586
Namibia,NAM,52.3,21.38444912076923,62262.67,29591730000.0,61.992000000000004,0.284111679,89.124815364,8.90162563,8.06386571,30.02857142857143,0.041973423,0.8,0.446437538,93.0,93.0,90.0,57.8608,2.209382369,12.17308439,404028.0,7.868628338,62.829,63.43907687473684,0.8434782608695652,116.4327399,2.15,-4301.0,7.36702299,92.74938011500001,0.4645,0.512376428,52.28143333333333,97.43142857142857,57.9,32.6,17.1,82.48554865333332,0.0308,43.26923077,2686.5,3578.0,0.0099776,30.6,0.33342573,12.43325,53.63833333,62.071638,45.280607,13560.37867,2.062,0.557084858,70.43939393939394,68.568
Nauru,NRU,100.0,20.743352743076922,9356.0,65397808.65,62.848,0.599186838,89.057023616,12.68183994,0.0,28.685714285714283,0.145206913,0.54,0.508412123,95.0,95.0,98.0,81.6554,3.630874461,8.319964138333333,303056.0,8.419756786666666,63.437,65.26881047210526,0.7956521739130435,81.20178644,2.1,-68.0,0.70856237,93.00138092333333,0.65525,0.776040912,46.28181666666667,97.46857142857142,47.849999999999994,23.1,11.15,92.95774841,0.0352,10.52631579,2817.0,1074.0,-0.083867647,60.599999999999994,-0.103149951,9.846499999999999,55.474166665,65.693632,46.558505,47.328063,2.6479999999999997,0.535820067,70.0878787878788,68.55
Nepal,NPL,89.9,20.102256365384612,1989284.0,117837000000.0,63.704,-0.598265946,88.989231868,5.21,41.59072201,27.34285714285714,-0.985539317,0.28,0.504601777,84.0,84.0,87.0,37.6984,5.052366553,4.466843886666666,202084.0,8.970885235333332,69.246,67.09854406947369,0.7478260869565216,130.203706,2.05,306664.0,54.17,93.25338173166666,0.846,-0.180229142,40.2822,97.50571428571428,37.8,13.6,5.2,92.49320983624999,0.0396,32.72727273,2947.5,19555.0,-0.735240161,90.6,-0.512035429,7.25975,57.31,76.153157,67.522902,45868.55644,3.234,-0.084038779,69.73636363636363,68.532
Netherlands,NLD,100.0,19.461159987692305,14748517.33,24154127283.0,64.56,2.000247002,88.92144012,11.21,10.97416097,26.0,1.805714965,2.91,0.789915025,94.0,93.0,94.0,91.3333,1.272460378,0.613723635,101112.0,9.522013684,81.35853659,68.9282776668421,0.7,122.8307665,2.0,58816.0,9.29,93.50538254,3.836,0.830863893,41.73217666666667,97.54285714285714,4.4,1.4,2.5,92.0286712625,0.044000000000000004,33.33333333,3078.0,95897.0,1.748252153,0.0,1.708140492,4.673,88.58708333,92.764473,89.796875,155912.4883,3.82,1.519863963,69.38484848484849,68.514
New Caledonia,NCL,100.0,18.82006361,11632568.4155,25449951522.0,65.416,2.058694601,88.70844840625,10.641026955000001,45.84354486,27.25,1.6723555925,2.71,0.782923728,93.0,92.5,92.5,93.28375,1.493511039,0.609036358375,140.0,10.073142132666666,80.83495122,70.75801126421052,0.9710526315789474,90.78117198,1.957142857142857,-1182.0,10.35123398,93.75738334833333,3.642,1.1493211685,43.18215333333333,97.58,9.45,2.45,5.0,91.56413268874999,0.048400000000000006,40.83333333,2678.8333333333335,48822.5,1.8113500475,17.8,1.773428738,33.022,85.964166665,91.209737,82.456367,118035.257065,13.558,1.5578392145,69.03333333333333,68.496
