Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Compensation of employees (current LCU),Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Gini index,Government Effectiveness: Estimate,"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Trinidad and Tobago,TTO,100.0,46.43617647058824,550239500000.0,-0.379686356,97.8269216390909,11.00727459,32.65294117647059,-0.025120277,93.0,93.0,92.0,79.9843,5.828386385,550650.0,7.489583333,74.708,81.36999650363636,2.5,61.9,130.5663978,1.8,-800.0,45.95,89.1786499,0.357974648,105.122306825,26.19047619,3424.0,-0.074092187,29.866666666666667,-0.167874694,16.882,55.44583333,82.999272,71.631935,4.383,0.64661628,55.71764705882353,54.6
Tunisia,TUN,100.0,47.091764705882355,699215250000.0,-0.251350313,97.88139482272727,11.044749544444445,33.51764705882353,-0.299408108,97.0,97.0,95.0,73.8379,8.306461244,824825.0,9.078130952571428,74.263,81.23999647636364,2.95,61.9,129.2577838,1.77,-4000.0,45.95,89.1786499,-0.596295178,106.06861115,26.26728111,3299.0,-0.414175898,8.3,-0.085312277,23.769,75.12666667,86.405285,76.150226,15.301,-0.183771133,56.94117647058824,54.6
Turkiye,TUR,100.0,47.74735294117647,848191000000.0,-0.467645317,97.93586800636363,11.08222449888889,34.38235294117647,-0.199029654,99.0,99.0,95.0,83.4372,72.30883599,1099000.0,10.666678572142857,78.475,81.10999644909091,3.4,61.9,105.807654,1.74,-301586.0,45.95,89.1786499,-1.039865017,107.014915475,17.35395189,3568259.0,-0.244638905,24.34,-0.458115965,24.119,87.71416667,91.568411,81.759683,10.465,-0.926607788,58.16470588235295,54.6
Turkmenistan,TKM,100.0,48.40294117647059,1809943250000.0,-1.436773896,97.99034119,11.119699453333332,35.247058823529414,-1.158353686,98.0,98.0,98.0,82.68856666666667,56.0305742075,825375.0,12.255226191714286,69.41,80.97999642181819,3.26,61.9,96.85231375000001,1.71,-4000.0,45.95,89.1786499,-0.100280806,107.9612198,25.86206897,14.0,-2.067060709,40.379999999999995,-1.492236853,27.529,31.355,79.888444,64.07508,9.416,-1.944283485,59.38823529411765,54.6
Turks and Caicos Islands,TCA,99.9,49.05852941176471,2771695500000.0,-0.39251008600000015,97.99034119,11.157174407777777,36.11176470588235,-0.7350141555,94.5,94.5,94.0,81.93993333333333,39.752312425,551750.0,13.843773811285715,74.925,80.84999639454546,3.12,61.9,87.8969735,1.68,200.0,45.95,89.1786499,0.5421257395,110.7355881,16.056034484999998,7.0,-1.106012173,56.42,-0.3398144845000002,30.938999999999997,34.747083335,86.848852,77.37173,8.366999999999999,-0.3625138994999999,60.61176470588236,54.6
Tuvalu,TUV,100.0,49.71411764705882,3733447750000.0,0.651753724,97.99034119,11.194649362222222,36.976470588235294,-0.311674625,91.0,91.0,90.0,81.1913,23.474050642499996,278125.0,15.432321430857144,64.854,80.71999636727273,2.98,61.9,78.94163325,1.65,-60.0,45.95,89.1786499,1.184532285,96.98275757,6.25,731765.0,-0.144963637,72.46,0.812607884,34.349,38.13916667,70.116724,49.720445,7.318,1.219255686,61.83529411764707,54.6
Uganda,UGA,47.1,50.36970588235294,4695200000000.0,-1.041796088,97.99034119,11.232124316666667,37.84117647058823,-0.583969176,89.0,89.0,90.0,87.46086666666666,7.19578886,4500.0,17.020869050428573,63.638,80.58999634,2.84,61.9,69.986293,1.62,-118846.0,45.95,89.1786499,-0.807034194,97.15583610750001,33.81294964,1463523.0,-0.490339339,88.5,-0.383247644,26.227666666666664,70.74166667,65.623891,54.463454,5.836333333333333,-0.804154873,63.05882352941177,54.6
Ukraine,UKR,100.0,51.02529411764706,994440000000.0,-0.633566201,97.99034119,11.26959927111111,38.705882352941174,-0.496294171,73.0,62.0,74.0,93.73043333333334,20.18363666,5914000.0,18.60941667,68.58792683,89.43770218,2.7,61.9,141.10355514999998,1.5899999999999999,-6673580.0,45.95,89.1786499,-1.997604966,97.328914645,20.33096927,2520.0,-0.331597328,4.4,-0.918780208,18.106333333333332,78.86916667,79.572532,52.302831,4.354666666666667,-0.024807706,64.28235294117647,54.6
United Arab Emirates,ARE,100.0,51.680882352941175,21510965894.0,1.155336499,97.99034119,11.307074225555555,39.57058823529411,1.299962282,96.0,95.0,98.0,100.0,4.827888596,5323800.0,16.673403060000002,79.196,98.28540802,4.0,61.9,212.2208173,1.56,0.0,45.95,89.1786499,0.700785339,97.5019931825,50.0,1399.0,1.034780741,0.1,0.836642742,9.985,79.545,91.819945,87.710539,2.873,-1.127252579,65.50588235294119,54.6
United Kingdom,GBR,100.0,52.336470588235294,161685000000.0,1.620156169,97.99034119,11.34454918,40.435294117647054,1.238634825,92.0,92.0,90.0,95.3412,7.922048831,4733600.0,14.737389450000002,82.05853659,98.7140502925,3.7,61.9,120.8191165,1.53,165790.0,45.95,89.1786499,0.503939092,97.67507172,34.56790123,328989.0,1.566510081,0.0,1.415491223,11.809,87.145,92.047562,88.073559,3.73,1.232192636,66.72941176470589,54.6
